index,title,is_financial,sentiment,companies,sector,summary_en,summary_tr,confident_score,error
24,WTF,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its content manager, license details, copyright information, and contact details. The company operates under the license issued by the Ministry of Information and Communications of Vietnam.","Makale, içerik yöneticisi, lisans detayları, telif hakkı bilgileri ve iletişim bilgileri dahil olmak üzere Spiderum Vietnam JSC'nin iletişim bilgilerini sağlamaktadır. Şirket, Vietnam Bilgi ve İletişim Bakanlığı tarafından verilen lisans kapsamında faaliyet göstermektedir.",9.0,
25,Spiderum | Mạng Xã Hội Chia Sẻ Quan Điểm - Kiến Thức Hàng Đầu Việt Nam,False,Neutral,,Energy,"The article discusses various topics on the Spiderum social network, including online patriotism, energy-saving investments, and Vietnam's transition to renewable energy. It also explores what Vietnam can learn from the global energy revolution.","Makale, Spiderum sosyal ağında çevrimiçi vatanseverlik, enerji tasarrufu yatırımları ve Vietnam'ın yenilenebilir enerjiye geçişi dahil olmak üzere çeşitli konuları ele almaktadır. Ayrıca, Vietnam'ın küresel enerji devriminden neler öğrenebileceğini araştırıyor.",8.0,
26,Thinking Out Loud,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its content responsibility, license details, copyright information, email, phone number, and address.","Makale, içerik sorumluluğu, lisans detayları, telif hakkı bilgileri, e-posta, telefon numarası ve adresi dahil olmak üzere Spiderum Vietnam JSC'nin iletişim bilgilerini sağlar.",9.0,
27,Đó Là Tình Yêu Độc Hại Đấy - Toxic Love,False,Neutral,,,"The article discusses the concept of 'toxic love' and critiques modern dating advice, particularly the emphasis on alpha/beta male dynamics and manipulative tactics. It argues for genuine relationships based on honesty and acceptance, rather than superficial strategies. The author encourages readers to embrace their true selves and avoid turning love into a competitive game.","Makale, 'toksik aşk' kavramını tartışıyor ve modern flört tavsiyelerini, özellikle alfa/beta erkek dinamiklerine ve manipülatif taktiklere yapılan vurguyu eleştiriyor. Yüzeysel stratejiler yerine, dürüstlük ve kabule dayalı gerçek ilişkileri savunuyor. Yazar, okuyucuları gerçek benliklerini benimsemeye ve aşkı rekabetçi bir oyuna dönüştürmekten kaçınmaya teşvik ediyor.",9.0,
28,Điêu khắc Kiến trúc Mỹ thuật,False,Neutral,"Felizz, Spiderum Vietnam JSC",,"The article provides contact information for Felizz, a subsidiary of Spiderum Vietnam JSC. It includes the content responsible person, license information, copyright details, and contact information.","Makale, Spiderum Vietnam JSC'nin bir iştiraki olan Felizz'in iletişim bilgilerini sağlar. İçerikten sorumlu kişiyi, lisans bilgilerini, telif hakkı ayrıntılarını ve iletişim bilgilerini içerir.",9.0,
29,CÀ SA VÀ GUCCI,False,Neutral,,,"The article explores the nature of desire and its impact on human behavior, comparing the motivations of those seeking material pleasures with those pursuing spiritual enlightenment. It argues that the core of human experience is driven by desires, regardless of their form, and that true freedom comes from understanding and managing these desires rather than suppressing them. The piece concludes that self-awareness and adaptation are key to navigating desires.","Makale, maddi zevkler arayanların motivasyonlarını ruhsal aydınlanma peşinde koşanlarla karşılaştırarak, arzu doğasının ve insan davranışı üzerindeki etkisini inceliyor. İnsan deneyiminin özünün, biçimlerinden bağımsız olarak arzular tarafından yönlendirildiğini ve gerçek özgürlüğün bu arzuları bastırmak yerine anlamaktan ve yönetmekten geldiğini savunuyor. Parça, öz farkındalığın ve uyum sağlamanın arzular arasında gezinmenin anahtarı olduğu sonucuna varıyor.",9.0,
30,Sự kiện Spiderum,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its content manager, license details, copyright information, email, phone number, and address.","Makale, içerik yöneticisi, lisans detayları, telif hakkı bilgileri, e-posta, telefon numarası ve adresi dahil olmak üzere Spiderum Vietnam JSC'nin iletişim bilgilerini sağlar.",9.0,
31,Vùng biển này có gì mà khiến tôi phải đi 2 lần trong vòng 3 tháng?,False,Positive,,,"The article describes the author's positive experiences visiting Phu Yen, Vietnam, twice in three months. It highlights the natural beauty of the area, including Ganh Da Dia and Hon Yen, and also mentions cultural sites like Mang Lang Church and Quang Duc Ancient House. The author recommends Phu Yen as a destination for those seeking unspoiled beauty.","Makale, yazarın üç ay içinde iki kez ziyaret ettiği Vietnam'ın Phu Yen şehri hakkındaki olumlu deneyimlerini anlatıyor. Ganh Da Dia ve Hon Yen gibi bölgenin doğal güzelliklerini ve Mang Lang Kilisesi ve Quang Duc Antik Evi gibi kültürel yerleri vurguluyor. Yazar, bozulmamış güzellik arayanlar için Phu Yen'i bir destinasyon olarak tavsiye ediyor.",9.5,
32,Khoa học - Công nghệ,False,Neutral,"Felizz Joint Stock Company, Spiderum Vietnam JSC",,"The article provides contact information for Felizz Joint Stock Company, a subsidiary of Spiderum Vietnam JSC. The content is managed by Tran Viet Anh and includes details such as the social network license number, copyright information, email, phone number, and address.","Makale, Spiderum Vietnam JSC'nin bir iştiraki olan Felizz Anonim Şirketi'nin iletişim bilgilerini sağlamaktadır. İçerik, Tran Viet Anh tarafından yönetilmekte olup, sosyal ağ lisans numarası, telif hakkı bilgileri, e-posta, telefon numarası ve adres gibi detayları içermektedir.",9.0,
33,Thể thao,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its responsibility for content, license details, copyright information, and contact details. The provided information includes the company's email, phone number, and address in Hanoi, Vietnam.","Makale, Spiderum Vietnam JSC'nin içerik sorumluluğu, lisans detayları, telif hakkı bilgileri ve iletişim bilgileri dahil olmak üzere iletişim bilgilerini sağlamaktadır. Sağlanan bilgiler arasında şirketin e-postası, telefon numarası ve Hanoi, Vietnam'daki adresi bulunmaktadır.",9.0,
34,Nguyên An,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Nguyên An, which is part of Spiderum Vietnam JSC. The content is managed by Trần Việt Anh and operates under a license from the Ministry of Information and Communications.","Makale, Spiderum Vietnam JSC'nin bir parçası olan Nguyên An'ın iletişim bilgilerini sağlamaktadır. İçerik, Trần Việt Anh tarafından yönetilmekte ve Bilgi ve İletişim Bakanlığı'ndan alınan bir lisans altında faaliyet göstermektedir.",9.0,
35,Game,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its address, phone number, and email. It also mentions the content responsibility of Tran Viet Anh and the social network license issued by the Ministry of Information and Communications.","Makale, Spiderum Vietnam JSC'nin adresi, telefon numarası ve e-postası dahil olmak üzere iletişim bilgilerini sağlamaktadır. Ayrıca, Tran Viet Anh'in içerik sorumluluğundan ve Bilgi ve İletişim Bakanlığı tarafından verilen sosyal ağ lisansından bahsetmektedir.",9.0,
36,Spiderum | Mạng Xã Hội Chia Sẻ Quan Điểm - Kiến Thức Hàng Đầu Việt Nam,True,Neutral,,Finance,"The article discusses various financial and societal issues in Vietnam, including the impact of financial crises on the poor, the rising cost of living, and the importance of renewable energy. It also touches upon the challenges of balancing personal values with societal norms and the dangers of applying universal reasoning.","Makale, Vietnam'daki finansal krizlerin yoksullar üzerindeki etkisi, yaşam maliyetinin artması ve yenilenebilir enerjinin önemi dahil olmak üzere çeşitli finansal ve toplumsal konuları ele almaktadır. Ayrıca kişisel değerleri toplumsal normlarla dengelemenin zorluklarına ve evrensel akıl yürütmeyi uygulamanın tehlikelerine de değinmektedir.",8.0,
37,Giáo dục,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its address, email, and phone number. It also mentions the content responsibility of Tran Viet Anh and the social network license number issued by the Ministry of Information and Communications.","Makale, Spiderum Vietnam JSC'nin adresi, e-postası ve telefon numarası dahil olmak üzere iletişim bilgilerini sağlamaktadır. Ayrıca, Tran Viet Anh'in içerik sorumluluğundan ve Bilgi ve İletişim Bakanlığı tarafından verilen sosyal ağ lisans numarasından bahsetmektedir.",9.0,
38,Chuyện thầm kín,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its content responsibility, social network license, copyright details, email, phone number, and address.","Makale, Spiderum Vietnam JSC'nin içerik sorumluluğu, sosyal ağ lisansı, telif hakkı bilgileri, e-posta, telefon numarası ve adresi dahil olmak üzere iletişim bilgilerini sağlar.",10.0,
39,Fashion,False,Neutral,Spiderum Vietnam JSC,,"This article provides contact information for Spiderum Vietnam JSC, including its address, phone number, and email. It also mentions the content responsibility and social network license information.","Bu makale, adresi, telefon numarası ve e-postası dahil olmak üzere Spiderum Vietnam JSC'nin iletişim bilgilerini sağlar. Ayrıca içerik sorumluluğu ve sosyal ağ lisans bilgilerinden de bahseder.",9.0,
40,Nghĩa Đăng (Đoèn),False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its address, email, and phone number. It also mentions the content responsibility of Tran Viet Anh and the social network license issued by the Ministry of Information and Communications.","Makale, Spiderum Vietnam JSC'nin adresi, e-postası ve telefon numarası dahil olmak üzere iletişim bilgilerini sağlamaktadır. Ayrıca, Tran Viet Anh'in içerik sorumluluğundan ve Bilgi ve İletişim Bakanlığı tarafından verilen sosyal ağ lisansından bahsetmektedir.",9.0,
41,Tài chính,False,Neutral,"Spiderum Vietnam JSC, Felizz",,"The article provides contact information for Spiderum Vietnam JSC, including its subsidiary Felizz, content responsibility details, and licensing information. It also lists the company's address and contact details.","Makale, Spiderum Vietnam JSC'nin iştiraki Felizz, içerik sorumluluğu ayrıntıları ve lisans bilgileri dahil olmak üzere iletişim bilgilerini sağlamaktadır. Ayrıca şirketin adresini ve iletişim bilgilerini listelemektedir.",9.0,
42,Đồng Nhân,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its address, email, and phone number. It also mentions the content responsibility and social network license.","Makale, Spiderum Vietnam JSC'nin adresi, e-postası ve telefon numarası dahil olmak üzere iletişim bilgilerini sağlar. Ayrıca içerik sorumluluğundan ve sosyal ağ lisansından bahseder.",9.0,
43,Phát triển bản thân,False,Neutral,"Spiderum Vietnam JSC, Felizz",,"The article provides contact information for Spiderum Vietnam JSC, including its subsidiary Felizz. It lists the content responsible person, license details, copyright information, and contact details.","Makale, Spiderum Vietnam JSC'nin iştiraki Felizz dahil olmak üzere iletişim bilgilerini sağlamaktadır. İçerikten sorumlu kişiyi, lisans ayrıntılarını, telif hakkı bilgilerini ve iletişim bilgilerini listeler.",9.0,
44,Fitness,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its address, email, and phone number. It also mentions the content responsibility of Tran Viet Anh and the social network license.","Makale, Spiderum Vietnam JSC'nin adresi, e-postası ve telefon numarası dahil olmak üzere iletişim bilgilerini sağlar. Ayrıca Tran Viet Anh'in içerik sorumluluğundan ve sosyal ağ lisansından bahseder.",9.0,
45,cơn khát trở thành tất cả mọi thứ,False,Neutral,,,"This article reflects on the modern tendency to lose oneself in the pursuit of various identities and experiences, particularly through social media. It argues that the constant exposure to others' lives and the pressure to be everything can lead to a sense of fragmentation and a loss of one's true self. The author encourages readers to embrace their own lives and find meaning in their authentic selves.","Bu makale, özellikle sosyal medya aracılığıyla çeşitli kimlikler ve deneyimler peşinde koşarken kişinin kendini kaybetme eğilimi üzerine düşünmektedir. Başkalarının hayatlarına sürekli maruz kalmanın ve her şey olma baskısının, bir parçalanma hissi ve kişinin gerçek benliğinin kaybına yol açabileceğini savunuyor. Yazar, okuyucuları kendi hayatlarını kucaklamaya ve özgün benliklerinde anlam bulmaya teşvik ediyor.",,
46,Âm nhạc,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its responsibility for content, licensing details, copyright information, and contact details. The provided information includes the company's email, phone number, and address.","Makale, içeriğinden sorumlu kişiyi, lisans bilgilerini, telif hakkı bilgilerini ve iletişim bilgilerini içeren Spiderum Vietnam JSC'nin iletişim bilgilerini sağlamaktadır. Sağlanan bilgiler arasında şirketin e-postası, telefon numarası ve adresi yer almaktadır.",9.0,
47,"Vì sao người Nghèo (0 vàng, 0 BĐS) phải lo cho Khủng hoảng Tài chính? (của người giàu)?",True,Negative,,,"The article discusses how financial crises disproportionately affect low-income individuals in Vietnam, even if they are not directly involved in financial markets. It explains the impact through job losses, rising essential goods prices, and cuts in public welfare programs. The author suggests personal financial preparedness and improved social safety nets are needed to mitigate these effects.","Makale, finansal krizlerin, finansal piyasalara doğrudan dahil olmasalar bile, Vietnam'daki düşük gelirli bireyleri orantısız bir şekilde nasıl etkilediğini tartışıyor. İş kayıpları, temel mal fiyatlarındaki artış ve kamu refah programlarındaki kesintiler yoluyla etkisini açıklıyor. Yazar, bu etkileri azaltmak için kişisel finansal hazırlık ve iyileştirilmiş sosyal güvenlik ağlarının gerekli olduğunu öne sürüyor.",9.0,
48,Ô tô,False,Neutral,Spiderum Vietnam JSC,,"The article provides contact information for Spiderum Vietnam JSC, including its address, email, and phone number. It also mentions the content responsibility of Tran Viet Anh and the social network license issued by the Ministry of Information and Communications.","Makale, Spiderum Vietnam JSC'nin adresi, e-postası ve telefon numarası dahil olmak üzere iletişim bilgilerini sağlamaktadır. Ayrıca, Tran Viet Anh'in içerik sorumluluğundan ve Bilgi ve İletişim Bakanlığı tarafından verilen sosyal ağ lisansından bahsetmektedir.",9.0,
49,Life style,False,Neutral,Spiderum Vietnam JSC,,"This article provides contact information for Spiderum Vietnam JSC, including its address, email, and phone number. The content is managed by Trần Việt Anh and operates under a license from the Ministry of Information and Communications.","Bu makale, adresi, e-postası ve telefon numarası dahil olmak üzere Spiderum Vietnam JSC'nin iletişim bilgilerini sağlar. İçerik, Trần Việt Anh tarafından yönetilmektedir ve Bilgi ve İletişim Bakanlığı'ndan alınan bir lisans altında faaliyet göstermektedir.",9.0,
